Function,N,Boundary condition,Worst,Best,Std. dev.
Rastrigin,50,Invisible,568.1523218347072,286.61517436389414,42.963988714209215
Rastrigin,50,Invisible/Damping,567.7957159927736,278.49903068458406,46.637849405009874
Rastrigin,50,Invisible/Reflecting,569.2659370819755,276.64821707420055,46.5771965763376
Rastrigin,50,Mirroring,561.4293467958432,281.121680456965,41.66806793559104
Rastrigin,50,Restarting,560.0619347964199,283.15308825284876,44.29934428166445
Rastrigin,50,Teleporting,560.5085083619466,262.8627406671064,46.637676040757775
Rosenbrock,20,Absorbing,1584.152777392613,27.53914580860017,188.27760134778478
Rosenbrock,20,Reflecting,1599.7689745671241,27.982818369199926,177.23413435137877
Rosenbrock,20,Damping,1629.2558613028266,27.634988554264662,182.73851549069707
Rosenbrock,20,Invisible,1682.8424025386466,26.890409694001534,210.46861268689142
Rosenbrock,20,Invisible/Damping,1547.2697368276993,30.245534127392546,207.18005649343806
Rosenbrock,20,Invisible/Reflecting,1642.8987727471842,26.79973254132623,182.4064871401746
Rosenbrock,20,Mirroring,1572.5599557878636,29.350204531640777,173.434954219167
Rosenbrock,20,Restarting,1553.0252122496865,29.526030470883143,172.09857165887263
Rosenbrock,20,Teleporting,1546.7185561930758,28.096080847915335,167.2469355903861
Rosenbrock,30,Absorbing,2294.450627465266,45.06331588949102,217.08350549135065
Rosenbrock,30,Reflecting,2552.8513360773245,42.44174803582729,225.02344082188858
Rosenbrock,30,Damping,2425.9822491928926,41.759381798595626,225.8795830491994
Rosenbrock,30,Invisible,2584.0236597238527,46.93310038055854,265.60011661012715
Rosenbrock,30,Invisible/Damping,2447.414566662763,44.49814285255143,252.73006965637012
Rosenbrock,30,Invisible/Reflecting,2332.6049254719674,46.32528708344499,230.57770850260815
Rosenbrock,30,Mirroring,2655.620328498872,43.72096232715468,233.53293826946887
Rosenbrock,30,Restarting,2392.6421194979184,45.60382508231711,237.97515553954048
Rosenbrock,30,Teleporting,2701.931043451411,46.58823795741648,236.2086674196402
Rosenbrock,50,Absorbing,4376.914682429786,81.71152971500076,313.9153084858146
Rosenbrock,50,Reflecting,4631.337651690222,77.55336941203777,332.09766400575506
Rosenbrock,50,Damping,4619.673964268814,80.68107769983126,319.89028181915467
Rosenbrock,50,Invisible,4285.0348689544135,95.9766342894498,364.00403134394844
Rosenbrock,50,Invisible/Damping,4581.875848542671,84.38402362391352,388.84320816219576
Rosenbrock,50,Invisible/Reflecting,4822.191424571596,84.29493949114028,369.95924404079983
Rosenbrock,50,Mirroring,4515.731286401838,81.37429036507271,311.3818308889444
Rosenbrock,50,Restarting,4563.070163832765,85.58042835709597,332.414221638528
Rosenbrock,50,Teleporting,4347.583939417151,81.21373570692424,331.54085311013455
Ackley,20,Absorbing,18.98060026730366,5.460173674418637,2.6228129802976015
Ackley,20,Reflecting,18.849647968901532,5.711743158554079,2.5518119286831906
Ackley,20,Damping,18.866455752397876,5.782169286677034,2.523717687071598
Ackley,20,Invisible,18.958053669647175,5.683180271749618,3.0338122502945826
Ackley,20,Invisible/Damping,18.847804336770885,5.661115108861858,2.911092088755213
Ackley,20,Invisible/Reflecting,18.73446946078591,5.9093748694578565,2.902020177733965
Ackley,20,Mirroring,18.715846845353063,5.8361466711756576,2.534862035282348
Ackley,20,Restarting,18.84883314366905,5.717079736001378,2.64227629260784
Ackley,20,Teleporting,18.660217249859617,5.56659952296104,2.6345268592942936
Ackley,30,Absorbing,18.74488915108257,5.639209990986527,2.2604813734116034
Ackley,30,Reflecting,18.71903644214502,5.543978788628667,2.2482911455903087
Ackley,30,Damping,18.88928007465109,5.2457480921047095,2.370184425492326
Ackley,30,Invisible,18.79493445943428,5.897580250148514,2.667442061338763
Ackley,30,Invisible/Damping,19.03550179470522,5.832388522545857,2.578736362085186
Ackley,30,Invisible/Reflecting,18.85489929132887,5.88562448106359,2.539013872362692
Ackley,30,Mirroring,19.064015121714117,5.932789503057355,2.301826207019022
Ackley,30,Restarting,18.8070807562924,5.756581836298901,2.429311057430912
Ackley,30,Teleporting,18.832074198113155,5.78972938647575,2.3930922166360347
Ackley,50,Absorbing,19.013525429607473,5.553174398814867,2.094391355782514
Ackley,50,Reflecting,18.962318660030938,6.0987253464583,1.8950524718994852
Ackley,50,Damping,19.11251175940819,5.788985995069623,2.010140937191797
Ackley,50,Invisible,18.920789611098293,6.492534568076931,2.1681922121560233
Ackley,50,Invisible/Damping,19.046915140319886,6.576415302004558,2.1731450942212325
Ackley,50,Invisible/Reflecting,19.00964515760715,6.372105130670578,2.0930957291467953
Ackley,50,Mirroring,19.180616355137378,6.408866949083999,1.9792741207176656
Ackley,50,Restarting,19.020921010383297,6.324277462481065,2.0342568412175703
Ackley,50,Teleporting,19.014332134282025,6.549224967192311,1.969946618158222
