Function,N,Boundary condition,Worst,Best,Std. dev.
Griewank,50,Damping,3459.2685002557096,0.5270621864798729,345.9218475474853
Griewank,50,Invisible,3415.295029157859,228.01694562900053,430.784944757595
Griewank,50,Invisible/Damping,3370.0100894953894,39.287887265979045,356.06778857081497
Griewank,50,Invisible/Reflecting,3405.9129828256964,124.20107949582136,413.5178042705494
Griewank,50,Mirroring,3354.0179535593425,0.12455515136790707,329.38664043362706
Griewank,50,Restarting,3520.966311600335,0.09941587583785105,572.6961831155822
Griewank,50,Teleporting,3458.9714181016398,371.383892783335,353.42959188000674
Rastrigin,20,Absorbing,60.43306931229813,42.98552995955107,1.8166456100947552
Rastrigin,20,Reflecting,56.877698837437016,1.0176259518721888,5.676538658766013
Rastrigin,20,Damping,62.999854241253374,2.1114249219761856,5.713436934273682
Rastrigin,20,Invisible,213.51507957630776,96.57083209006652,22.12412461883892
Rastrigin,20,Invisible/Damping,204.06162091796006,120.5909490573304,14.527870906769742
Rastrigin,20,Invisible/Reflecting,233.4169898256941,96.87690573282167,24.487223108504896
Rastrigin,20,Mirroring,151.54206778915184,42.97605190367957,17.954371186646924
Rastrigin,20,Restarting,211.17054587594657,30.693278305097675,27.391273916844046
Rastrigin,20,Teleporting,214.07082995485297,128.47335097811168,16.60858671464861
Rastrigin,30,Absorbing,75.95012922543096,49.45139019487502,2.3595755655941386
Rastrigin,30,Reflecting,77.36339864000621,1.02892334874504,6.247604061992738
Rastrigin,30,Damping,79.72398312466774,3.2060894132159388,6.2065424139956615
Rastrigin,30,Invisible,291.4204049471975,155.72806370527567,25.569588822093586
Rastrigin,30,Invisible/Damping,295.49551752960207,211.3280259610451,14.410654042835612
Rastrigin,30,Invisible/Reflecting,296.2673981078362,149.14152746216456,28.276923610730584
Rastrigin,30,Mirroring,209.04399050098635,52.385769554859735,23.32135604607667
Rastrigin,30,Restarting,304.4132517501115,47.83468793048669,36.57925206456836
Rastrigin,30,Teleporting,289.14835795566603,199.77399780462014,17.96864624525714
Rastrigin,50,Absorbing,115.17857324761692,69.3567557228535,3.5658463001157212
Rastrigin,50,Reflecting,118.59709224785607,1.4944808187088165,7.352592234451922
Rastrigin,50,Damping,110.9168144411721,5.431367878277509,7.920697342768347
Rastrigin,50,Invisible,474.18730262052304,283.90402017475674,33.80236181209553
Rastrigin,50,Invisible/Damping,478.5215412337884,382.3701032565503,16.472002591338132
Rastrigin,50,Invisible/Reflecting,484.6003422411486,274.58893412514544,38.03916923533957
Rastrigin,50,Mirroring,353.44846668191985,97.07733460148737,33.60070617836849
Rastrigin,50,Restarting,443.34887250427846,71.87345635928529,54.15268333725546
Rastrigin,50,Teleporting,472.5878013076116,371.76451721615143,17.343258935007295
Rosenbrock,20,Absorbing,18.976818769106124,18.920114399681815,0.004599156760613319
Rosenbrock,20,Reflecting,18.958904964531722,17.587796028594557,0.3904414369184463
Rosenbrock,20,Damping,18.988538104201133,17.005620400634914,0.587995814404668
Rosenbrock,20,Invisible,1347.7613551244444,56.79654058657725,160.61782401817683
Rosenbrock,20,Invisible/Damping,1272.5385541623596,36.87972849786094,158.87020975152424
Rosenbrock,20,Invisible/Reflecting,1996.2467601827707,43.70711462644976,192.97648244721768
