Function,N,Boundary condition,Worst,Best,Std. dev.
Rastrigin,20,Restarting,203.3815807525903,32.43683401362299,24.53857240939918
Rastrigin,20,Teleporting,224.85586449589778,128.8560506485001,18.998983151853633
Rastrigin,30,Absorbing,81.6756580679906,44.63147442163332,2.9153230868062208
Rastrigin,30,Reflecting,91.31087287686488,0.8940879893026419,6.692124090694776
Rastrigin,30,Damping,76.60252787597243,2.578291010789061,6.001063619478759
Rastrigin,30,Invisible,305.80714833225574,146.45925545419888,31.611306123760368
Rastrigin,30,Invisible/Damping,287.8222916501103,191.83974402153774,17.520447370872184
Rastrigin,30,Invisible/Reflecting,294.29998791511423,137.733728096824,29.026698332793735
Rastrigin,30,Mirroring,215.7115521117023,63.30477173238597,19.227738665234774
Rastrigin,30,Restarting,294.4440556273069,44.36721867271757,36.198887118851815
Rastrigin,30,Teleporting,284.15790245281164,185.19582247855698,20.378053004600503
Rastrigin,50,Absorbing,112.12204792343557,71.09418897266542,3.4771994820361667
Rastrigin,50,Reflecting,112.4722130089013,0.33098898118303716,7.362030516249731
Rastrigin,50,Damping,109.84841009024596,2.698261021976208,7.476171560217298
Rastrigin,50,Invisible,456.2168158964861,260.69299444430493,32.83152632834828
Rastrigin,50,Invisible/Damping,461.7186370209277,344.50315145789057,18.224530541786923
Rastrigin,50,Invisible/Reflecting,466.65671011456834,242.3071402242402,38.048510759684575
Rastrigin,50,Mirroring,335.2869639049745,92.64046438557813,28.987261069228957
Rastrigin,50,Restarting,444.9254061239487,72.66888385157841,52.605928572917136
Rastrigin,50,Teleporting,448.2589377914739,342.0721135834605,21.199466215892645
Rosenbrock,20,Absorbing,18.988057367741156,18.904074835943018,0.01267912286595902
Rosenbrock,20,Reflecting,19.0,17.39018991898934,0.3520823694066289
Rosenbrock,20,Damping,18.981597730083443,17.07264351535388,0.5228119109765659
Rosenbrock,20,Invisible,1638.0809509032067,52.79402900400195,184.3271998068412
Rosenbrock,20,Invisible/Damping,1161.4342217494118,35.461512523469594,144.4631198612319
Rosenbrock,20,Invisible/Reflecting,1674.9651214709513,41.24380536199901,170.1179992895845
Rosenbrock,20,Mirroring,146.23431344139152,16.42058438973893,15.202359883561565
Rosenbrock,20,Restarting,1120.6890495520954,19.43893543781585,95.24505818170095
Rosenbrock,20,Teleporting,1222.9275888344102,84.67082346943195,160.15495042528278
Rosenbrock,30,Absorbing,28.946884680449195,28.803592443366245,0.02526831966828791
Rosenbrock,30,Reflecting,28.93220429627316,24.871114314111146,0.7968550008134786
Rosenbrock,30,Damping,28.952333223521844,26.58749566952401,0.693673419056801
Rosenbrock,30,Invisible,975.2996933958733,98.07442477435445,112.53169121390515
Rosenbrock,30,Invisible/Damping,1251.6294653249267,54.057487755166264,150.28692079424644
Rosenbrock,30,Invisible/Reflecting,1282.1625527862047,75.71510977784052,129.02299602298976
Rosenbrock,30,Mirroring,127.96275130465992,26.2076721382129,8.64621945492299
Rosenbrock,30,Restarting,1161.771712545194,35.16174305981728,84.0183591601044
Rosenbrock,30,Teleporting,1005.2980563229419,127.19969368966272,126.97815859655266
Rosenbrock,50,Absorbing,48.86194794479458,48.25954061217816,0.1401502805763395
Rosenbrock,50,Reflecting,48.86096019374189,24.176423061138596,2.678106672123499
Rosenbrock,50,Damping,48.90857593174747,47.210992730893565,0.4440638411572396
Rosenbrock,50,Invisible,1191.9008905230066,217.66678500644443,113.68012149967534
Rosenbrock,50,Invisible/Damping,1198.3164950461942,98.70465483044481,125.7478028360282
Rosenbrock,50,Invisible/Reflecting,1061.0035288241702,104.71714876251383,100.08241604224986
Rosenbrock,50,Mirroring,86.35245721080278,46.00464066332069,2.7231760185833838
Rosenbrock,50,Restarting,1055.1866036742597,46.6394154145123,71.35889450330848
Rosenbrock,50,Teleporting,1179.0909212771198,210.5099757408625,144.7429199936011
Ackley,20,Absorbing,12.152683127332987,4.729443222053152,0.7261054386343955
Ackley,20,Reflecting,8.41521264115578,2.17292658774138,0.6833686820325776
Ackley,20,Damping,11.575129550757023,3.7732438073770758,0.8445892640138883
Ackley,20,Invisible,20.98550133320539,9.222819941577871,3.429323803677641
Ackley,20,Invisible/Damping,19.97837128212399,6.831013230092362,3.174628806963561
Ackley,20,Invisible/Reflecting,20.777895333639847,7.590796032605598,3.5869195498316504
Ackley,20,Mirroring,15.631801181807356,2.8951464424062454,2.096057689599888
Ackley,20,Restarting,20.781855226616877,1.5866674492463222,3.358516374839327
Ackley,20,Teleporting,20.73759168135195,14.254634379200358,1.807273122264141
Ackley,30,Absorbing,9.46378700185426,3.739234089432279,0.42563426844212193
Ackley,30,Reflecting,7.5332076508848616,1.3491961057310449,0.5535783419436129
Ackley,30,Damping,6.736943771650431,2.9899300839107745,0.2817163952831834
Ackley,30,Invisible,21.14904041370898,10.125877277550412,3.1318443149000355
Ackley,30,Invisible/Damping,19.92193620654951,6.393011064595247,2.9075012068156334
